Catalyst,Ratio of CH4 in Feed,Reaction Temperature,Ni Loading,Reaction Time,Pore Size,Pore Volume,Surface Area,H2-TPR Peak Temperature,Ni Particle Size,Ni Dispersion,Modifier Electronegativity,GHSV,CH4 Conversion,CO2 Conversion,Syngas_Ratio,Paper no.
Ni−SiO2‑550,0.1500,650.0000,10.0000,0.5000,4.7000,0.5800,476.0000,640.0000,2.9000,,1.9600,60000.0000,68.5000,73.6000,0.7000,2021-1
Ni−SiO2‑750,0.1500,650.0000,10.0000,0.5000,4.7000,0.5800,476.0000,640.0000,4.6000,,1.9600,60000.0000,66.9000,72.4000,0.7000,2021-1
Ni/Sn0.2−SiO2‑550,0.1500,650.0000,10.0000,0.5000,5.2000,0.5800,455.0000,457.0000,2.9000,,1.9600,60000.0000,18.4000,26.1000,1.0000,2021-1
Ni/Sn0.2−SiO2‑750,0.1500,650.0000,10.0000,0.5000,5.2000,0.5800,455.0000,457.0000,4.6000,,1.9600,60000.0000,14.6000,19.9000,0.9000,2021-1
Ni/Sn0.05−SiO2‑550,0.1500,650.0000,10.0000,0.5000,4.8000,0.8200,599.0000,558.0000,3.9000,,1.9600,60000.0000,61.3000,74.0000,0.7000,2021-1
Ni/(-Al2O3),0.1500,800.0000,5.0000,4.1670,20.9000,0.6200,128.7000,782.0000,6.2000,,0.0000,108000.0000,95.3000,98.7000,0.9900,2021-3
Ni/(Al2O3-Crush),0.1500,800.0000,5.0000,4.1670,11.1000,0.2300,80.7000,783.0000,10.2000,,0.0000,108000.0000,91.5000,93.4000,0.9900,2021-3
Ni/(Al2O3-Sigma),0.1500,800.0000,5.0000,4.1670,7.0000,0.2300,99.9000,792.0000,16.0000,,0.0000,108000.0000,90.1000,93.3000,0.9500,2021-3
Ni/(-Al2O3),0.4500,800.0000,5.0000,4.1670,20.9000,0.6200,128.7000,782.0000,6.2000,,0.0000,216000.0000,78.8000,83.5000,0.9700,2021-3
Ni/(Al2O3-Crush),0.4500,800.0000,5.0000,4.1670,11.1000,0.2300,80.7000,783.0000,10.2000,,0.0000,216000.0000,72.1000,76.8000,0.9500,2021-3
Ni/(Al2O3-Sigma),0.4500,800.0000,5.0000,4.1670,7.0000,0.2300,99.9000,792.0000,16.0000,,0.0000,216000.0000,57.5000,61.0000,0.8400,2021-3
Ni-Ce,0.1500,650.0000,10.0000,24.0000,15.0000,0.0800,13.1000,327.0000,78.0000,,1.1100,60000.0000,30.0000,43.4000,0.5300,2021-5
Ni-LaCe 1:4,0.1500,650.0000,10.0000,24.0000,13.8000,0.0700,12.2000,392.0000,10.0000,,1.1100,60000.0000,49.0000,63.6000,0.6300,2021-5
Ni-LaCe 1:1,0.1500,650.0000,10.0000,24.0000,11.2000,0.0600,11.4000,352.0000,26.0000,,1.1100,60000.0000,48.0000,61.3000,0.6400,2021-5
Ni-Ce,0.1500,650.0000,10.0000,12.0000,15.0000,0.0800,13.1000,327.0000,78.0000,,1.1100,60000.0000,32.1000,45.1500,0.5300,2021-5
Ni-LaCe 1:4,0.1500,650.0000,10.0000,12.0000,13.8000,0.0700,12.2000,392.0000,10.0000,,1.1100,60000.0000,50.6000,64.0000,0.6300,2021-5
Ni-LaCe 1:1,0.1500,650.0000,10.0000,12.0000,11.2000,0.0600,11.4000,352.0000,26.0000,,1.1100,60000.0000,49.5000,62.0000,0.6400,2021-5
3%-Ni/(-Al2O3),0.1500,800.0000,4.0900,120.0000,19.7000,0.7000,129.9000,790.0000,3.3000,15.9000,1.1200,108000.0000,84.9000,89.0000,1.0000,2021-8
5%-Ni/(-Al2O3),0.1500,800.0000,4.6800,120.0000,20.9000,0.6900,128.7000,786.0000,6.3000,15.3000,1.1200,108000.0000,92.0000,97.4000,1.0000,2021-8
10%-Ni/(-Al2O3),0.1500,800.0000,3.6400,120.0000,23.9000,0.6600,123.3000,785.0000,9.2000,13.2000,1.1200,108000.0000,92.5000,99.0000,1.0000,2021-8
20%-Ni/(-Al2O3),0.1500,800.0000,4.2300,120.0000,25.4000,0.6200,93.4000,782.0000,11.1000,9.3000,1.1200,108000.0000,93.0000,99.0000,1.0000,2021-8
3%-Ni/(-Al2O3),0.1500,800.0000,4.0900,60.0000,19.7000,0.7000,129.9000,790.0000,3.3000,15.9000,1.1200,108000.0000,84.2000,90.0000,1.0000,2021-8
5%-Ni/(-Al2O3),0.1500,800.0000,4.6800,60.0000,20.9000,0.6900,128.7000,786.0000,6.3000,15.3000,1.1200,108000.0000,90.9000,97.7000,1.0000,2021-8
10%-Ni/(-Al2O3),0.1500,800.0000,3.6400,60.0000,23.9000,0.6600,123.3000,785.0000,9.2000,13.2000,1.1200,108000.0000,93.6000,98.4700,1.0000,2021-8
20%-Ni/(-Al2O3),0.1500,800.0000,4.2300,60.0000,25.4000,0.6200,93.4000,782.0000,11.1000,9.3000,1.1200,108000.0000,94.7000,99.0000,1.0000,2021-8
Ni-DML-160-1-1,0.4000,750.0000,17.4000,12.0000,12.4000,0.6200,516.0000,790.0000,9.0000,12.0000,0.0000,30000.0000,83.0000,90.0000,0.9500,2021-13
Ni-DML-160-2-1,0.4000,750.0000,16.5000,12.0000,12.4000,0.6200,309.0000,790.0000,12.0000,8.4000,0.0000,30000.0000,84.0000,91.0000,0.9400,2021-13
Ni-DML-160-3-1,0.4000,750.0000,22.2000,12.0000,12.4000,0.6200,440.0000,790.0000,15.0000,6.9000,0.0000,30000.0000,85.0000,91.0000,0.9400,2021-13
Ni-DML-160-4-0.25,0.4000,750.0000,27.9000,12.0000,12.4000,0.6200,288.0000,790.0000,14.0000,7.2000,0.0000,30000.0000,88.0000,89.0000,0.8600,2021-13
Ni-DML-160-4-0.5,0.4000,750.0000,30.8000,12.0000,12.4000,0.6200,342.0000,790.0000,18.0000,5.8000,0.0000,30000.0000,84.0000,86.0000,0.8500,2021-13
Ni/γ-Al2O3,0.4000,750.0000,5.3000,12.0000,12.4000,0.6200,158.0000,790.0000,21.0000,4.8000,0.0000,30000.0000,80.0000,82.0000,0.9100,2021-13
Ni/B-MWW,0.4000,750.0000,4.9000,12.0000,12.4000,0.6200,437.0000,790.0000,38.0000,2.6000,0.0000,30000.0000,43.0000,57.0000,0.6600,2021-13
Ni/γ-Al2O3,0.4000,700.0000,5.3000,12.0000,12.4000,0.6200,158.0000,790.0000,21.0000,4.8000,0.0000,30000.0000,57.0000,62.0000,0.8000,2021-13
Ni/B-MWW,0.4000,700.0000,4.9000,12.0000,12.4000,0.6200,437.0000,790.0000,38.0000,2.6000,0.0000,30000.0000,15.0000,28.0000,0.4500,2021-13
Ni0.5/HAP,0.1000,800.0000,3.0900,7.0000,27.4200,0.2250,44.9000,561.0000,14.6000,,0.0000,30000.0000,84.0000,90.8000,1.0000,2021-14
Ni0.5/HAP-OP,0.1000,800.0000,2.2800,7.0000,27.4200,0.2250,57.1000,703.0000,18.6000,,0.0000,30000.0000,98.1000,97.8000,0.9960,2021-14
Ni1/HAP-OP,0.1000,800.0000,4.0900,7.0000,27.4200,0.2250,69.2000,694.0000,26.2000,,0.0000,30000.0000,93.5000,97.3000,1.0100,2021-14
Ni1.5/HAP-OP,0.1000,800.0000,5.6400,7.0000,27.4200,0.2250,85.4000,682.0000,27.1000,,0.0000,30000.0000,97.8000,95.6000,1.0100,2021-14
Ni2/HAP-OP,0.1000,800.0000,8.3600,7.0000,27.4200,0.2250,93.5000,664.0000,38.2000,,0.0000,30000.0000,93.0000,95.6000,1.0080,2021-14
Ni0.5/HAP-OP,0.1000,700.0000,2.2800,7.0000,27.4200,0.2250,57.1000,703.0000,18.6000,,0.0000,30000.0000,82.0000,87.0000,0.9200,2021-14
Ni0.5/HAP-OP,0.1000,750.0000,2.2800,7.0000,27.4200,0.2250,57.1000,703.0000,18.6000,,0.0000,30000.0000,87.3000,90.8000,0.9700,2021-14
Ni0.5/HAP-OP,0.1000,800.0000,2.2800,7.0000,27.4200,0.2250,57.1000,703.0000,18.6000,,0.0000,30000.0000,97.4000,96.8000,1.0000,2021-14
Ni0.5/HAP-OP,0.1000,800.0000,2.2800,7.0000,27.4200,0.2250,57.1000,703.0000,18.6000,,0.0000,30000.0000,98.1000,97.4000,0.9960,2021-14
Ni0.5/HAP-OP,0.1000,800.0000,2.2800,7.0000,27.4200,0.2250,57.1000,703.0000,18.6000,,0.0000,40000.0000,97.5000,96.1000,1.0000,2021-14
Ni0.5/HAP-OP,0.1000,800.0000,2.2800,7.0000,27.4200,0.2250,57.1000,703.0000,18.6000,,0.0000,60000.0000,91.9000,94.8000,0.9800,2021-14
NiCo/MMAl,0.5000,750.0000,7.0000,9.0000,8.3000,0.1500,64.0000,840.0000,9.4000,3.7000,1.8800,48000.0000,53.7000,55.8000,0.7700,2021-17
NiCo/MAl,0.5000,750.0000,7.6000,9.0000,8.1000,0.1900,85.0000,845.0000,8.7000,3.4000,1.8800,48000.0000,52.6000,59.7000,0.7900,2021-17
Ni/Mal,0.5000,750.0000,9.1000,9.0000,8.7000,0.2600,105.0000,790.0000,7.3000,2.8000,1.8800,48000.0000,49.5000,56.6000,0.7900,2021-17
NiCo/MMAl,0.5000,750.0000,7.0000,5.0000,8.3000,0.1500,64.0000,840.0000,9.4000,3.7000,1.8800,48000.0000,57.0000,58.6000,0.7800,2021-17
NiCo/MAl,0.5000,750.0000,7.6000,5.0000,8.1000,0.1900,85.0000,845.0000,8.7000,3.4000,1.8800,48000.0000,56.0000,62.6000,0.7900,2021-17
Ni/Mal,0.5000,750.0000,9.1000,5.0000,8.7000,0.2600,105.0000,790.0000,7.3000,2.8000,1.8800,48000.0000,55.4000,62.6000,0.7900,2021-17
Ni/EXVTM-SiO2,0.3610,750.0000,9.9270,6.0000,3.1900,0.1520,350.4000,445.0000,12.0000,,0.0000,18000.0000,45.0000,80.5000,0.9000,2021-23
NiCo/EXVTM-SiO2,0.3610,750.0000,9.6200,6.0000,3.2300,0.1450,361.0000,330.0000,12.8000,,1.8800,18000.0000,34.3000,80.6000,0.9500,2021-23
NiCu/EXVTM-SiO2,0.3610,750.0000,10.4000,6.0000,3.1300,0.1480,354.3000,272.0000,10.6000,,1.9000,18000.0000,54.1300,91.1300,0.9900,2021-23
Ni/CeMnOx (1 : 1),0.1500,640.0000,9.2000,24.0000,9.9000,0.1000,15.6000,312.0000,26.0000,4.6000,1.3350,60000.0000,42.0000,55.0000,0.7300,2021-30
Ni/CeMnOx (9 : 1),0.1500,640.0000,10.1000,24.0000,6.7000,0.0960,14.0000,410.0000,30.0000,3.4000,1.1630,60000.0000,39.0000,57.0000,0.7200,2021-30
